rainfall_mm,soil_quality_index,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
0.7506666666666668,0.8888888888888888,0.6323232323232324,0.875,0.31241379310344825,0.6151202749140894
0.9726666666666668,0.8888888888888888,0.06363636363636364,0.875,0.004137931034482754,0.11855670103092783
0.5733333333333333,0.0,0.34545454545454546,0.125,0.20758620689655172,0.3178694158075601
0.8626666666666667,0.1111111111111111,0.9474747474747475,0.375,0.0686206896551724,0.8436426116838487
0.7533333333333334,0.4444444444444445,0.8828282828282829,0.125,0.9079310344827586,0.872852233676976
0.73,0.3333333333333333,0.9272727272727274,0.375,0.6175862068965517,0.8762886597938144
0.696,1.0,0.35454545454545455,0.75,0.15413793103448276,0.36254295532646047
0.08066666666666666,0.8888888888888888,0.15858585858585858,1.0,0.6244827586206897,0.1924398625429553
0.3106666666666667,0.6666666666666665,0.593939393939394,0.875,0.28965517241379307,0.5395189003436427
0.8253333333333335,0.5555555555555556,0.494949494949495,1.0,0.20310344827586208,0.48281786941580757
0.22000000000000003,0.6666666666666665,0.6636363636363637,0.875,0.39758620689655166,0.6030927835051547
0.988,0.0,0.8626262626262626,0.125,0.7206896551724138,0.8419243986254294
0.057999999999999996,0.0,0.4666666666666667,0.75,0.17896551724137927,0.3797250859106529
0.9306666666666668,0.7777777777777777,0.22626262626262625,0.125,0.3572413793103448,0.28350515463917525
0.7486666666666668,0.1111111111111111,0.9252525252525253,0.125,0.2496551724137931,0.8333333333333333
0.5806666666666667,1.0,0.3151515151515151,0.375,0.9206896551724137,0.3951890034364261
0.08666666666666667,0.8888888888888888,0.6202020202020202,0.0,0.3403448275862069,0.5549828178694158
0.8880000000000001,0.6666666666666665,0.9272727272727274,0.5,0.276551724137931,0.865979381443299
0.5126666666666666,0.5555555555555556,0.8666666666666667,0.625,0.8903448275862069,0.8436426116838487
0.22866666666666663,0.0,0.8202020202020203,1.0,0.8099999999999999,0.7560137457044673
0.958,0.0,0.9484848484848485,0.875,0.18137931034482757,0.859106529209622
0.5366666666666666,0.1111111111111111,0.46969696969696967,0.125,0.5741379310344827,0.46048109965635736
0.25666666666666665,0.5555555555555556,0.08787878787878789,0.0,0.3924137931034482,0.10996563573883161
0.81,0.5555555555555556,0.890909090909091,0.125,0.1582758620689655,0.8127147766323024
0.6366666666666667,0.1111111111111111,0.305050505050505,0.75,0.9927586206896551,0.3711340206185567
0.184,0.0,0.685858585858586,0.375,0.88,0.6460481099656357
0.7893333333333334,1.0,0.4383838383838384,0.5,0.3210344827586207,0.4570446735395189
0.306,0.4444444444444445,0.687878787878788,0.75,0.6848275862068965,0.6512027491408934
0.8913333333333333,0.4444444444444445,0.13535353535353534,0.25,0.11172413793103446,0.16838487972508592
0.014000000000000012,0.1111111111111111,0.049494949494949494,0.125,0.1993103448275862,0.025773195876288665
0.16799999999999998,0.5555555555555556,0.4353535353535353,0.75,0.9682758620689654,0.4570446735395189
0.49799999999999994,0.8888888888888888,0.3424242424242424,0.5,0.9993103448275861,0.4175257731958763
0.5706666666666667,0.1111111111111111,0.34949494949494947,0.0,0.53,0.35738831615120276
0.316,1.0,0.6515151515151516,0.0,0.8789655172413793,0.6563573883161511
0.7213333333333334,0.1111111111111111,0.34949494949494947,1.0,0.689655172413793,0.3865979381443299
0.34,0.2222222222222222,0.6545454545454545,0.5,0.8210344827586207,0.6323024054982818
0.9993333333333334,0.6666666666666665,0.24646464646464644,0.0,0.8037931034482758,0.3470790378006873
0.466,0.5555555555555556,0.1090909090909091,0.75,0.16344827586206895,0.12199312714776633
0.6499999999999999,0.7777777777777777,0.8323232323232324,1.0,0.3713793103448275,0.7800687285223367
0.126,0.7777777777777777,0.8060606060606061,0.0,0.5106896551724138,0.7302405498281788
0.6379999999999999,0.5555555555555556,0.5373737373737374,0.375,0.5524137931034483,0.5378006872852235
0.4573333333333333,1.0,0.08989898989898991,0.25,0.4975862068965517,0.15292096219931273
0.6379999999999999,0.2222222222222222,0.29797979797979796,0.5,0.21758620689655167,0.2920962199312715
0.37466666666666665,0.2222222222222222,0.11212121212121212,0.75,0.24206896551724133,0.11512027491408935
0.8446666666666667,0.0,0.8202020202020203,0.875,0.8468965517241379,0.8075601374570447
0.554,0.6666666666666665,0.593939393939394,0.125,0.3382758620689655,0.5618556701030928
0.7693333333333334,0.4444444444444445,0.17777777777777776,0.75,0.45758620689655166,0.2302405498281787
0.4306666666666667,0.3333333333333333,0.34545454545454546,0.0,0.6751724137931034,0.3642611683848797
0.013333333333333364,1.0,0.6656565656565657,0.75,0.19241379310344825,0.5773195876288659
0.56,0.3333333333333333,0.10101010101010101,0.875,0.07620689655172413,0.10824742268041238
0.11066666666666669,0.3333333333333333,0.7646464646464647,0.125,0.5365517241379311,0.6821305841924399
0.8646666666666667,0.5555555555555556,0.6343434343434344,1.0,0.7603448275862069,0.6597938144329898
0.25799999999999995,0.7777777777777777,0.6090909090909091,0.0,0.1196551724137931,0.5326460481099655
0.39999999999999997,0.7777777777777777,0.40404040404040403,0.625,0.4075862068965517,0.40034364261168387
0.21000000000000002,0.4444444444444445,0.02727272727272727,0.0,0.3062068965517241,0.0429553264604811
0.008666666666666656,0.5555555555555556,0.9454545454545455,0.25,0.3175862068965517,0.8127147766323024
0.16066666666666668,0.3333333333333333,0.9707070707070707,0.625,0.4337931034482758,0.8522336769759451
0.5173333333333334,0.8888888888888888,0.5414141414141415,0.25,0.9341379310344827,0.5807560137457044
0.9126666666666667,0.7777777777777777,0.057575757575757586,0.875,0.1393103448275862,0.11855670103092783
0.37599999999999995,1.0,0.502020202020202,0.5,0.4413793103448275,0.49140893470790376
0.5980000000000001,1.0,0.298989898989899,0.125,0.23310344827586205,0.31443298969072164
0.9086666666666667,0.0,0.13434343434343432,0.375,0.20275862068965517,0.16494845360824742
0.06066666666666665,0.1111111111111111,0.3333333333333333,1.0,0.5586206896551724,0.3075601374570447
0.9266666666666667,0.8888888888888888,0.2505050505050505,0.375,0.8982758620689655,0.36082474226804123
0.6366666666666667,0.7777777777777777,0.5545454545454546,0.875,0.8710344827586206,0.5927835051546391
0.9853333333333334,0.2222222222222222,0.9101010101010102,0.5,0.8737931034482759,0.9037800687285222
0.9673333333333334,0.7777777777777777,0.9494949494949495,0.0,0.5496551724137931,0.9209621993127148
0.3386666666666666,0.0,0.07474747474747476,0.75,0.19482758620689655,0.070446735395189
0.5166666666666666,1.0,0.6595959595959596,0.25,0.886551724137931,0.6804123711340206
0.02266666666666667,0.3333333333333333,0.8414141414141415,0.875,0.24241379310344824,0.7130584192439862
0.13666666666666666,0.2222222222222222,0.1686868686868687,0.25,0.9889655172413793,0.21993127147766323
0.736,0.5555555555555556,0.7777777777777778,0.0,0.2955172413793103,0.725085910652921
0.9406666666666668,0.6666666666666665,0.5070707070707071,0.5,0.4427586206896551,0.529209621993127
0.6833333333333333,0.3333333333333333,0.892929292929293,0.125,0.2013793103448276,0.802405498281787
0.6806666666666668,0.6666666666666665,0.35757575757575755,0.375,0.9424137931034482,0.4312714776632302
0.942,0.8888888888888888,0.22626262626262625,0.0,0.0796551724137931,0.25945017182130586
